CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
C34:4 PC	5.8813627	6.6835728	6.2710811	6.3537718	6.2247264	5.7596207	5.9641831	6.0188942	5.7810788	6.028313	6.2337815	6.0212668	5.9982263	5.8839763	6.267584	6.2931281	5.643256	6.1055106	5.7263134	5.9481753	5.7190835	5.8523474	5.8839763	6.1095043	5.8108561	5.999898	6.1534862	5.3818352	5.8027291
C34:3 PC	5.9444665	6.5827666	6.5229907	6.2238115	5.856731	5.9370747	5.3858042	5.8085549	5.7938751	6.0216501	6.2789231	5.4881755	5.499192	5.9072849	6.0695366	6.2087489	5.4443223	5.9856168	5.757152	6.015567	5.6756625	5.9557029	5.9109405	5.9973541	5.899816	5.8390808	6.0359473	5.6605339	5.8550861
C34:2 PC	5.8937444	6.1860748	6.216385	6.1647708	5.7238161	5.6581879	5.7231283	5.8626842	6.0042599	5.8006056	6.1129695	5.8376481	5.6428277	6.0601177	5.8907283	6.0525417	5.8839763	5.9038136	5.901088	5.9042613	5.7019933	6.0030647	5.8000422	6.1166209	5.8771822	5.884363	6.028021	5.7277673	5.7607505
C34:1 PC	5.9207831	6.0376682	5.9416955	5.7031661	5.8491196	5.6741919	5.8483123	5.8979799	5.8908838	5.8231558	5.8276495	5.9149284	5.7221057	6.202659	6.0215678	5.9449073	5.822495	5.8017287	5.7577962	5.9342434	5.4999447	6.0848983	5.8864014	6.0352926	5.9115072	5.9545116	5.7920566	5.9146532	5.779898
C36:4 PC-A	5.9530248	6.4588204	5.9396905	5.6469012	5.6786563	5.7752538	5.8189534	5.9257269	5.7117932	6.360584	5.7756423	5.5601245	5.7810308	6.1902945	5.9102384	5.8064337	5.7410034	5.9717564	5.3348576	5.6512252	5.268115	5.9235525	5.6651732	5.7884545	5.5559422	5.8269042	5.7897131	5.7564448	5.8449518
C36:4 PC-B	5.9378375	6.133027	6.0272597	5.7391068	5.7558525	6.0055096	6.0386079	5.7819317	5.7175178	5.9114356	5.6752679	5.9806108	5.8685199	6.2136322	6.2063147	5.975249	5.7678483	5.9413853	5.6478284	5.6945417	5.7901049	5.6678638	5.8957266	5.8605784	5.6705353	6.0685952	5.828682	5.8557084	5.8991561
C36:3 PC	5.9034295	6.1375918	6.1083327	5.7522929	5.6689332	5.7628619	5.7826211	5.8422316	5.7277463	5.9778878	5.7870955	5.7734265	5.761339	6.2289662	6.0297629	6.0768544	5.8044856	5.8942737	5.8365124	5.8197903	5.7947026	5.8466363	5.8841987	5.9257008	5.6701136	6.1126284	5.7319533	5.77871	5.9888488
C36:2 PC	5.9377064	5.7980063	6.06919	5.8766287	5.5311065	5.6163628	5.6634302	5.9782643	5.9612479	5.7841772	5.9630471	5.7921321	5.5810891	5.9306211	5.891654	6.0317108	5.9941021	5.7373453	5.9751531	5.7389276	5.7942504	6.0131648	5.7857189	6.0787219	5.8096133	5.8673608	5.9672539	5.7990777	5.9034488
C36:1 PC	5.8997738	5.8440609	5.5792906	5.2692571	5.5473821	5.645842	5.668653	5.9962875	5.9228311	5.8948291	5.7448818	6.0471785	5.6945566	6.1669202	5.8943438	5.9759769	5.7601536	5.1607269	6.0653592	5.8653728	5.2156887	6.0389571	5.9937438	5.900941	5.7760104	5.9554488	5.5762529	6.0354824	6.0951128
C38:6 PC	6.1172836	5.8485876	5.941645	5.3665995	5.8311299	5.8450819	5.7785723	5.8450173	5.5765771	6.1163903	5.3471871	6.048457	5.7476032	6.2654107	5.7335944	5.9321393	5.7196743	5.7100331	5.6158749	5.326984	5.8780262	5.3685771	5.9513642	5.618694	5.5818964	6.1264467	5.5800993	5.8849584	5.9976799
