CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
MIMAT0005896	6.474436	5.9927683	6.586765	6.1679196	6.102868	6.0145783	6.253611	6.2968245	6.2203298	6.2729564	5.9754467	6.4944158	6.1542106	6.295356	5.9653225	6.424754	6.1133256	6.159871	6.35297	6.0919113	6.1830893	6.3643975	6.140983	6.210233	6.254745	6.142209	6.0963464	6.429114	6.383704
MIMAT0005897	5.8902035	5.9927683	6.085977	5.9406366	5.969703	5.981396	6.0485415	6.0658736	5.801676	6.0531116	5.79831	6.181699	6.089159	6.102238	5.9857283	6.208283	5.7703004	6.0995054	6.0415497	5.948367	5.853996	5.9932213	5.8752885	5.9637055	5.9128895	6.0163627	5.9523335	5.848498	5.9932213
MIMAT0005898	9.419118	10.080404	10.175986	6.934988	7.6107297	7.771027	9.572018	8.62326	7.6866407	8.816119	8.618936	9.194264	7.9499435	7.6827135	8.496334	9.70672	8.456929	8.83156	7.7854853	7.680043	8.225545	10.646991	9.116006	7.7952604	8.934369	8.728839	7.456724	7.021813	8.2310295
MIMAT0005899	6.0643654	5.940167	5.9128895	5.9406366	5.9181476	5.7260137	5.9574504	5.76739	5.97728	5.793636	5.8994174	5.8462424	5.731726	5.7792597	5.858727	5.8449883	5.930501	5.877744	5.9207697	5.9889116	5.9791107	6.0212574	5.7325406	5.792595	5.877499	5.804776	5.806324	7.502633	5.9226737
MIMAT0005900	6.2361097	6.139961	6.3352118	5.9630117	5.9823093	5.803744	6.195151	6.1226726	6.103917	5.971544	6.149544	6.4326253	6.1542106	6.142822	5.858727	6.208283	6.1697245	6.159871	6.4653215	6.0669503	6.112283	6.2975583	6.0916996	6.0163627	5.877499	5.9493012	6.0018024	6.3300204	6.1091514
MIMAT0005902	6.027464	6.0925455	6.19101	5.895303	5.9441557	5.877499	6.0919113	5.945561	5.8384476	5.929081	5.9188633	5.995711	6.07232	6.142822	5.858727	6.1487308	6.034964	5.8288345	5.9521008	5.9889116	5.809929	6.0755324	6.1247416	5.981396	5.9474325	5.9493012	5.9523335	6.224002	6.0931797
MIMAT0005903	6.082575	5.8288345	6.2889123	5.895303	6.0074196	5.803744	6.1340156	6.0851274	5.6848187	5.88533	6.149544	6.130725	6.1856685	6.0386996	5.7905116	6.2656617	6.1133256	6.0148015	6.5287275	6.0541973	5.9988723	6.227279	6.0916996	6.0163627	5.9128895	6	6.0018024	6.260214	5.9406366
MIMAT0005944	6.186659	5.9927683	6.624686	6.0276847	5.9441557	6.169324	6.003602	6.3921456	6.2203298	5.929081	5.9567537	6.0511546	6.2317014	6.2399325	5.9023147	6.2933335	6.0748906	6.327328	6.42156	6.028348	6.0940247	6.0485415	5.951168	5.999098	6.078311	5.9832215	5.926711	6.224002	6.370513
MIMAT0005904	6.219943	6.8874035	6.3352118	6.048323	6.2355356	6.0145783	6.3816295	6.263598	6.3280463	6.2032013	6.1331935	6.4326253	6.261531	6.2585187	6.045268	6.5908117	6.32607	6.159871	6.305606	6.152792	5.9791107	6.407353	6.337354	6.3121567	6.046797	6.2156787	6.318136	6.260214	6.1562347
MIMAT0005905	6.2841067	6.1858664	6.697663	5.824259	6.102868	6.0785246	6.48301	6.140983	6.7325406	5.971544	6.1331935	6.078311	6.3336024	6.1224656	5.9236245	6.3206654	7.164304	6.851499	7.2211037	6.152792	6.0565834	6.1785154	6.595295	6.179511	6.702796	6.065012	6.227279	6.224002	6.2311254
MIMAT0005906	5.9701633	5.940167	6.8969984	5.9406366	6.0074196	5.8409667	6.1546154	6.0069714	6.0101085	6.0531116	6.0298944	6.1049657	6.0382605	6.142822	6.295172	6.208283	6.132577	6.2735157	6.0415497	6.222457	6.165711	6.1534	6.0578833	5.8899603	6.254745	6.065012	6.014132	6.186659	6.201634
MIMAT0005907	6.1529946	5.708187	5.8499994	5.824259	6.102868	5.8409667	6.026136	5.945561	5.763677	5.8402114	5.8994174	6.1049657	5.753016	5.804776	5.7905116	5.8070974	5.9733815	5.9479	5.8564878	6.0919113	5.9181476	6.0755324	5.8752885	5.9271855	5.877499	5.8787255	5.900867	6.364047	5.9759054
MIMAT0005908	5.910493	5.9927683	6.54782	5.871844	6.0074196	6.046797	5.933809	6.103917	6.0419874	5.793636	6.0298944	6.181699	5.7739964	5.9030385	5.8361764	6.021702	5.9733815	5.877744	5.9825373	6.0669503	5.853996	6.1278396	5.932628	5.908813	6.046797	5.9832215	5.763677	5.9406366	5.886062
MIMAT0005909	5.9701633	5.8855743	6.240696	5.697663	6.0795913	5.6853795	5.728737	5.7191834	5.724923	5.6957154	5.859721	6.023477	5.7739964	5.6721425	5.8361764	5.7279205	5.9521008	5.803744	5.7180877	6.0541973	5.693208	5.7810974	5.7106686	5.8711042	5.6853795	5.8234944	5.749266	6.1485276	5.9044843
MIMAT0005910	6.082575	5.8855743	6.085977	5.9183865	6.0912766	6.1093607	6.003602	5.986866	5.8384476	5.88533	5.9567537	6.023477	5.967399	6.1224656	5.767125	5.953498	6.187847	6.057667	5.822985	6.041331	5.8755345	5.9646297	6.0578833	5.9271855	6.046797	5.7855506	5.847496	6.3300204	6.010332
MIMAT0004602	8.012066	7.274821	9.155122	7.4091363	7.2262197	8.836524	8.218393	8.222216	8.459145	6.829723	8.202809	8.348993	6.305241	8.333424	8.714074	7.597382	8.486714	7.8382583	5.6814494	7.817879	6.839204	8.462379	8.508429	8.570994	7.7114263	8.343452	8.328181	5.697663	8.954545
MIMAT0000443	10.979389	10.968436	11.39699	11.49362	11.897426	12.055381	11.970239	10.424754	11.461142	10.230248	12.647544	10.751469	11.4935055	9.572511	11.904402	13.227065	10.365961	12.348747	11.819153	10.811367	10.516518	12.937065	11.339711	11.654748	11.650127	12.802286	10.818278	11.392527	11.629816
MIMAT0000423	10.520589	7.787772	7.935047	6.4452634	6.0318804	8.237975	6.1546154	11.792009	10.47264	9.782343	7.900444	9.43296	7.1652083	9.956551	11.029066	6.7193203	8.660031	9.302639	8.495215	7.854931	10.114133	8.24265	7.3146963	6.446587	6.078311	8.188144	6.014132	11.608449	11.726976
MIMAT0000445	7.126085	8.473624	7.072106	8.933484	7.3772974	8.223906	7.582104	7.169023	8.404801	6.605257	9.015388	7.793831	7.0242534	8.754119	10.219132	8.665904	8.8381	7.8444233	8.123242	6.599764	6.7011333	8.31782	7.171627	7.6243935	9.364288	8.333603	7.7712913	9.971112	8.001746
MIMAT0005911	12.686564	13.007781	11.830575	12.429945	12.52767	12.054387	12.53832	12.604206	12.022853	11.001409	13.62606	11.431304	12.908048	11.166383	13.398293	13.553157	11.256456	12.91693	13.301325	12.022229	12.733513	12.6477165	12.0185795	12.578988	13.176225	12.595775	13.376261	13.026852	12.181509
MIMAT0005913	6.268285	6.315421	7.1521835	6.089583	6.337354	6.282254	6.7230124	6.3610663	6.0419874	6.167117	6.390771	6.181699	6.0552826	6.4331264	6.005849	6.4498916	6.554128	6.327328	6.3294826	6.5281024	6.2341948	7.019368	6.751812	6.7465816	6.0145783	6.488483	6.337711	5.9406366	6.370513
